i	north	east	parent	distance	visited
547	10.2431	-66.8622	0	104.076	1
548	-45.8742	170.504	0	218.021	1
549	-25.395	-51.4578	0	126.348	1
550	0.05	37.65	0	97.5117	1
551	-10.1633	123.578	0	159.073	1
552	-5.0949	-42.8042	0	104.284	1
553	47.6589	-117.5	0	124.896	1
554	37.5431	-121.983	0	132.784	1
555	36.351	127.385	0	138.221	1
556	27.5061	-99.5072	0	117.504	1
557	32.029	44.3396	0	72.9839	1
558	53.1833	50.1167	0	62.1864	1
559	21.9135	110.848	0	130.089	1
560	45.4833	-75.65	0	87.7762	1
561	44.75	19.2167	0	49.1614	1
562	35.3386	129.039	0	140.139	1
563	34.2678	-119.254	0	131.635	1
564	33.9603	133.283	0	144.585	1
565	37.8481	27.8453	0	59.1201	1
566	12.5833	-16.2667	0	79.1072	1
567	35.6714	139.395	0	149.608	1
568	44.6	33.5333	0	56.4415	1
569	49.5881	117.453	0	124.21	1
570	45.3	21.8903	0	49.7722	1
571	27.9991	120.656	0	135.654	1
572	56.8578	35.9219	0	48.8752	1
573	-5.89611	22.4167	0	98.4813	1
574	51.5167	7.1	0	39.1328	1
575	35.7994	139.469	0	149.63	1
576	26.2658	117.63	0	133.787	1
577	27.9979	-80.67	0	101.744	1
578	-42.8833	147.317	0	198.394	1
579	-16.5	-68.2	0	126.465	1
580	50.3	57.1667	0	69.5997	1
581	-26.9078	-48.6619	0	126.631	1
582	35.2333	115.433	0	127.766	1
583	48.39	-4.48694	0	41.8512	1
584	-26.3208	31.1617	0	120.423	1
585	35.95	68.7	0	87.4133	1
586	-22.8583	-47.22	0	122.339	1
587	3.10726	101.607	0	133.695	1
588	35.3833	136.283	0	146.82	1
589	-16.1579	33.5898	0	111.345	1
590	41.1198	122.063	0	131.487	1
591	-6.91972	106.927	0	144.315	1
592	45.05	41.9833	0	61.5069	1
593	49.7414	13.3825	0	42.4246	1
594	34.4067	135.327	0	146.302	1
595	13.005	76.1028	0	108.258	1
596	45.19	28.8	0	53.267	1
597	33.6989	73.0369	0	92.2183	1
598	31.9333	49.3	0	76.1724	1
599	-33.0458	-71.6197	0	142.372	1
600	31.5667	120.283	0	133.726	1
